id;descripcion;cantidad;precio
1;seagull despite;20403;32511.39
2;per;17075;19183.7
3;source since fort;29837;27887.96
4;pixellate potable muscat;31119;16347.36
5;er ditch;21671;11162.91
6;tuxedo so;720;60.33
7;sadly;4751;1261.46
8;wretched instead obnoxiously;5045;12886.83
9;quicker gloss naturally;1268;974.55
10;bakeware whoever;20148;30407.47
11;until agreeable;25447;7175.85
12;into;27811;28110.95
13;accompanist blank explode;9478;27580.88
14;drat busily;25306;19579.49
15;fooey black-and-white whoa;10421;6963.15
16;ugh yuck;3037;18323.68
17;to how worst;15190;24932.15
18;too;24333;11661.66
19;whoever yahoo yippee;2531;28456.89
20;yesterday;10537;1382.99
21;bicycle vacantly yowza;27257;19500.31
22;yowza woot;2653;23099.13
23;provided;28168;17724.15
24;whenever paintwork;6804;8194.6
25;tedious;698;6777.12
26;painfully;12668;8495.85
27;times creamy before;18525;14357.85
28;after ample;16034;27226.4
29;geez near;19089;7849.18
30;arid;21376;30859.27
