id;fecha;estado;observaciones;mecanico;mano_obra;subtotal;total
1;2026-03-20;PENDIENTE;fat;limply into;27333.22;32646.19;10416.84
2;2026-03-19;PENDIENTE;quickly;because oxidize except;24566.71;8854.25;1606.29
3;2026-03-19;EN_PROCESO;cruelty heartache;times;12223.37;18634.36;1232.85
4;2026-03-19;PENDIENTE;airbus whenever atop;round;7242.4;3953.88;21048.22
5;2026-03-19;FINALIZADO;hospitalization reservation treasure;too edible unto;25770.47;1701.61;18116.59
6;2026-03-19;EN_PROCESO;lone forgery;magnetize step;10629.97;23267.85;19324.18
7;2026-03-19;PENDIENTE;skeletal sharply repeatedly;whereas until judgementally;12549.38;30402.39;10943.96
8;2026-03-20;FINALIZADO;spirit gadzooks whoever;whoever;12024.04;8071.84;7545.37
9;2026-03-20;FINALIZADO;cutlet after ew;unnecessarily vice yuck;31483.09;24176.69;9141.43
10;2026-03-19;PENDIENTE;limited each;fuel now meaty;31930.68;4776.99;3911.71
11;2026-03-19;PENDIENTE;basket unless;hence controvert fencing;19552.36;13314.91;8674.17
12;2026-03-19;EN_PROCESO;onto;tarragon or;11792.48;3506.27;18795.45
13;2026-03-19;EN_PROCESO;fatally;attraction gleefully that;9210.76;10015.16;5633.95
14;2026-03-19;EN_PROCESO;save usefully;actually waver;18422.81;9663.74;31257.27
15;2026-03-19;FINALIZADO;poppy;taxicab reopen;32605.81;8917.96;19676.12
16;2026-03-19;EN_PROCESO;basket what disbar;woot abaft uh-huh;30529.58;27772.77;2827.41
17;2026-03-19;PENDIENTE;dial whose insecure;quaintly;24179.03;1041.8;14560.12
18;2026-03-19;FINALIZADO;opposite rich rationale;above ick;21602.48;28752.71;14131.03
19;2026-03-19;FINALIZADO;consequently;athwart equally;3581.98;6508.73;8351.88
20;2026-03-19;FINALIZADO;far while like;sans aside;26563.52;17290.77;17164.63
21;2026-03-19;PENDIENTE;equally black;while easily whose;5908.27;5766.84;30209.2
22;2026-03-19;PENDIENTE;rudely;colon sometimes;28987.75;10793.84;3604.59
23;2026-03-19;PENDIENTE;grubby;slight;6312.08;21707.43;28052.82
24;2026-03-19;EN_PROCESO;gah shush;multicolored;13815.34;12747.75;7548.83
25;2026-03-19;FINALIZADO;feminize tangible;blah;28513.01;24822.56;9214.76
26;2026-03-19;EN_PROCESO;plumber when ugh;mooch hamburger;18712.68;18785.64;12021.94
27;2026-03-19;PENDIENTE;now aha against;tune-up long orientate;4062.6;22577.1;29995.05
28;2026-03-19;PENDIENTE;until catalyze sleepily;boohoo ah;7262.01;17453.99;12979.06
29;2026-03-20;EN_PROCESO;whoever heartache;deplore;6594.28;29254.99;17441.81
30;2026-03-19;FINALIZADO;yowza;irresponsible;13385.71;28211.21;17929.96
