id;nombre;precio
1;cardboard cake;8359.4
2;clamour publication abaft;22762.75
3;provided overdue unabashedly;9488.31
4;amid dramatic whether;13898.23
5;what;3400.53
6;barring forenenst;27579.38
7;an;582.47
8;liberalize sediment that;2128.14
9;halt;10776.88
10;brr save;16993.56
11;even;25677.04
12;alarmed;11788.73
13;reconsideration;1871.54
14;brr regarding yum;30444.39
15;drat segregate;4256.67
16;witty that unit;5784.27
17;an;30048.89
18;molasses spook dependable;14980.86
19;ew acidly;14719.92
20;ordinary;14168.76
21;leading yuck duh;8936.49
22;worth bump miserably;13962.42
23;whereas;23487.8
24;thoughtfully below;32284.64
25;exhausted eulogise culture;29521.78
26;ick;20974.85
27;greedily brr;4550.7
28;nearly following providence;17004.71
29;unaccountably;26738.69
30;gallery;21201.8
