id;placa;marca;modelo;color
1;blah natural times;devil yahoo;carelessly queasy with;maroon
2;chunter morbidity wholly;badly inasmuch;afterwards whereas hexagon;fuchsia
3;who convection;finer below;because unimpressively forecast;lime
4;once;phooey even;sympathetically;sky blue
5;damp greedily abscond;while;internal short;plum
6;hygienic proceed;likewise;barge;indigo
7;ruddy of ecstatic;instead guacamole;madly consequently except;maroon
8;inside;mmm injunction in;mmm gracious;olive
9;phew against any;syringe on front;gee;indigo
10;gee blah;buttery anenst;sunny;purple
11;well-to-do;out zowie unibody;unimpressively generously;green
12;royal quicker;battle since;what;azure
13;enormously at chip;fooey following sup;reprimand;azure
14;brr;brood;incidentally gosh midst;green
15;qua boo bleach;councilman impressionable;thoroughly stage;salmon
16;function sans;flood of unless;rectangular feminize;magenta
17;postbox;quintessential times maroon;microblog;purple
18;scientific catalyst reasoning;fraudster;eggplant;tan
19;even;sometimes carelessly wrong;advancement righteously;yellow
20;justly why;for happily;but amongst;pink
21;a snowplow;enthusiastically admired;where drat;cyan
22;yippee litter;where if strictly;seafood;sky blue
23;bump;aboard;whose precious hungry;grey
24;gray what by;intensely jaggedly;hovercraft;silver
25;pretend sadly;consequently determined;scarily toward informal;azure
26;who obligation yet;plus;indeed carboxyl outrun;salmon
27;import sniveling;gleaming ugh thorny;huzzah minion;pink
28;randomize amongst than;piglet;veto rapidly;blue
29;industrialize;geez past to;emphasise;red
30;shampoo cuddly gosh;sarcastic;overcoat;lavender
